id,species,primary,secondary,tertiary,quaternary,double bond,cyclo-ring,benzene ring,Temp,CH4,C2H4,C3H6,CO,H2,CO2
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,8.30E+02,0.00E+00,6.86E-06,7.10E-06,0.00E+00,0.00E+00,5.23E-06
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,8.60E+02,2.36E-05,5.82E-05,4.99E-05,1.12E-05,0.00E+00,6.19E-06
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,8.90E+02,7.90E-05,2.02E-04,1.63E-04,6.56E-05,5.31E-05,8.65E-06
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,9.20E+02,1.71E-04,4.03E-04,2.92E-04,2.99E-04,1.20E-04,1.29E-05
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,9.50E+02,3.92E-04,7.87E-04,4.55E-04,1.10E-03,3.67E-04,3.03E-05
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,9.80E+02,6.34E-04,1.16E-03,4.55E-04,2.52E-03,7.03E-04,1.22E-04
5,FGI,3.18,2.34,0.72,0.34,0.06,0,0.04,1.01E+03,7.83E-04,1.28E-03,2.88E-04,4.33E-03,1.10E-03,3.23E-04
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,770,0.00E+00,0.00E+00,0.00E+00,1.31E-06,0.00E+00,0.00E+00
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,800,0.00E+00,0.00E+00,0.00E+00,6.56E-06,0.00E+00,1.20E-05
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,830,0.00E+00,3.60E-06,4.29E-06,1.25E-05,0.00E+00,2.04E-05
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,860,1.36E-05,3.06E-05,2.11E-05,1.64E-05,0.00E+00,2.94E-05
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,890,4.10E-05,1.18E-04,7.48E-05,4.66E-05,0.00E+00,3.96E-05
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,920,1.23E-04,3.50E-04,2.02E-04,2.72E-04,8.03E-05,7.27E-05
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,950,2.55E-04,6.82E-04,3.28E-04,8.83E-04,2.00E-04,1.26E-04
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,980,4.73E-04,1.10E-03,3.67E-04,2.34E-03,4.59E-04,1.99E-04
6,FGJ,2.91,2.28,0.35,0.12,0,0,0.3,1010,7.09E-04,1.38E-03,2.68E-04,4.62E-03,1.02E-03,3.80E-04
7,n-butane,2,2,0,0,0,0,0,750,0,0,0,0,0,
7,n-butane,2,2,0,0,0,0,0,780,0,0,0,0,0,
7,n-butane,2,2,0,0,0,0,0,810,0,0,0,0,0,
7,n-butane,2,2,0,0,0,0,0,840,0,0,0,0,0,
7,n-butane,2,2,0,0,0,0,0,870,0,0,0,0,0,
7,n-butane,2,2,0,0,0,0,0,900,1.26E-05,1.40E-05,1.29E-05,0,0,
7,n-butane,2,2,0,0,0,0,0,930,4.59E-05,6.23E-05,5.51E-05,0,0,
7,n-butane,2,2,0,0,0,0,0,960,0.00010102,0.000191667,0.000147826,2.68E-05,6.75E-05,
7,n-butane,2,2,0,0,0,0,0,990,0.000217687,0.00045625,0.000276812,0.000127767,0.000200435,
7,n-butane,2,2,0,0,0,0,0,1020,0.000408163,0.000929167,0.000391304,0.0005,0.000424606,
7,n-butane,2,2,0,0,0,0,0,1050,0.000653061,0.001460417,0.000356522,0.001567404,0.000901958,
7,n-butane,2,2,0,0,0,0,0,1080,0.000860544,0.001541667,0.000162319,0.004097586,0.001748533,
8,cyclopentane,0,5,0,0,0,1,0,750,0,0,0,0,0,
8,cyclopentane,0,5,0,0,0,1,0,780,0,0,0,0,0,
8,cyclopentane,0,5,0,0,0,1,0,810,0,0,0,0,0,
8,cyclopentane,0,5,0,0,0,1,0,840,0,0,7.83E-06,0,0,
8,cyclopentane,0,5,0,0,0,1,0,870,0,0,1.35E-05,0,0,
8,cyclopentane,0,5,0,0,0,1,0,900,0,0,1.23E-05,0,0,
8,cyclopentane,0,5,0,0,0,1,0,930,0,1.33E-05,1.46E-05,0,0,
8,cyclopentane,0,5,0,0,0,1,0,960,0,4.23E-05,1.61E-05,2.04E-05,2.85E-05,
8,cyclopentane,0,5,0,0,0,1,0,990,0,0.000114583,2.81E-05,7.24E-05,0.000102855,
8,cyclopentane,0,5,0,0,0,1,0,1020,1.94E-05,0.000279167,5.65E-05,0.000232394,0.000250544,
8,cyclopentane,0,5,0,0,0,1,0,1050,6.19E-05,0.000583333,9.71E-05,0.000597586,0.000527461,
8,cyclopentane,0,5,0,0,0,1,0,1080,0.000156463,0.000889583,9.57E-05,0.001540241,0.000894046,
8,cyclopentane,0,5,0,0,0,1,0,1110,0.000340136,0.000989583,6.67E-05,0.003863179,0.001426782,
9,cyclohexane,0,6,0,0,0,1,0,750,0,0,0,0,0,
9,cyclohexane,0,6,0,0,0,1,0,780,0,0,0,0,0,
9,cyclohexane,0,6,0,0,0,1,0,810,0,0,0,0,0,
9,cyclohexane,0,6,0,0,0,1,0,840,0,0,0,0,0,
9,cyclohexane,0,6,0,0,0,1,0,870,0,0,0,0,0,
9,cyclohexane,0,6,0,0,0,1,0,900,0,6.21E-05,1.58E-05,5.63E-05,4.80E-05,
9,cyclohexane,0,6,0,0,0,1,0,930,3.67E-05,0.000295833,7.25E-05,0.000410463,0.000171425,
9,cyclohexane,0,6,0,0,0,1,0,960,0.000101361,0.000660417,0.000130435,0.001358149,0.00041142,
9,cyclohexane,0,6,0,0,0,1,0,990,0.000197279,0.000989583,0.000144928,0.002758551,0.000648777,
9,cyclohexane,0,6,0,0,0,1,0,1020,0.000268707,0.00104375,9.42E-05,0.004368209,0.001023274,
10,n-hexane,2,4,0,0,0,0,0,750,0,0,0,7.38E-07,0,0
10,n-hexane,2,4,0,0,0,0,0,780,0,0,0,2.62E-07,0,0
10,n-hexane,2,4,0,0,0,0,0,810,0,0,0,0,0,0
10,n-hexane,2,4,0,0,0,0,0,840,0,0,0,9.19E-07,0,0
10,n-hexane,2,4,0,0,0,0,0,870,0,8.07E-06,4.40E-06,2.62E-07,0,0
10,n-hexane,2,4,0,0,0,0,0,900,3.85E-05,0.000127747,6.49E-05,6.56E-07,0,0
10,n-hexane,2,4,0,0,0,0,0,930,0.000143619,0.000524437,0.0002375,8.82E-05,8.81E-05,0
10,n-hexane,2,4,0,0,0,0,0,960,0.000323298,0.001233771,0.000435417,0.000533071,0.000224023,5.89E-06
10,n-hexane,2,4,0,0,0,0,0,990,0.000373037,0.001411945,0.000283681,0.001724672,0.000455235,3.36E-05
10,n-hexane,2,4,0,0,0,0,0,1020,0.00021574,0.000749676,0.000116551,0.002078346,0.000403322,0.002392961
11,triptane,5,0,1,1,0,0,0,750,0,0,0,0,0,
11,triptane,5,0,1,1,0,0,0,780,0,0,0,0,0,
11,triptane,5,0,1,1,0,0,0,810,0,0,0,0,0,
11,triptane,5,0,1,1,0,0,0,840,0,0,8.84E-06,0,0,
11,triptane,5,0,1,1,0,0,0,870,7.82E-06,0,4.46E-05,0,0,
11,triptane,5,0,1,1,0,0,0,900,4.49E-05,1.67E-05,0.000191304,0.000109658,7.44E-05,
11,triptane,5,0,1,1,0,0,0,930,0.000156463,0.000114583,0.000404348,0.000803823,0.000250544,
11,triptane,5,0,1,1,0,0,0,960,0.000312925,0.000308333,0.000457971,0.002067404,0.000514274,
11,triptane,5,0,1,1,0,0,0,990,0.000489796,0.000545833,0.000423188,0.003507042,0.000891409,
11,triptane,5,0,1,1,0,0,0,1020,0.000751701,0.000845833,0.000381159,0.005070423,0.001413595,
12,1-hexene,1,3,0,0,1,0,0,750,0,0,0,0,0,
12,1-hexene,1,3,0,0,1,0,0,780,0,0,0,0,0,
12,1-hexene,1,3,0,0,1,0,0,810,0,0,2.39E-06,0,0,
12,1-hexene,1,3,0,0,1,0,0,840,0,1.77E-05,1.81E-05,0,0,
12,1-hexene,1,3,0,0,1,0,0,870,1.56E-05,0.00009375,6.96E-05,4.02E-05,0,
12,1-hexene,1,3,0,0,1,0,0,900,4.69E-05,0.000279167,0.000191304,0.000146881,2.08E-05,
12,1-hexene,1,3,0,0,1,0,0,930,9.35E-05,0.000572917,0.00034058,0.000442656,5.91E-05,
12,1-hexene,1,3,0,0,1,0,0,960,0.000183673,0.000970833,0.000453623,0.001209256,0.000147689,
12,1-hexene,1,3,0,0,1,0,0,990,0.00027551,0.001235417,0.000398551,0.002389336,0.000305927,
12,1-hexene,1,3,0,0,1,0,0,1020,0.000418367,0.00150625,0.000301449,0.003940644,0.000588119,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,750,0,0,0,0,0,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,780,0,0,0,0,0,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,810,8.16E-06,0,1.77E-05,2.79E-05,0,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,840,3.54E-05,8.33E-06,8.12E-05,0.000133803,0,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,870,9.18E-05,3.79E-05,0.000181159,0.000465795,4.59E-05,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,900,0.000248299,0.000141667,0.000311594,0.001552314,0.00013714,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,930,0.00044898,0.0003,0.00032029,0.002799799,0.000271642,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,960,0.000632653,0.000472917,0.00026087,0.003821932,0.000408782,
13,"2,2,4-trimethyl-2-pentene",5,0,0,1,1,0,0,990,0.000755102,0.000627083,0.000201449,0.004586519,0.000614492,
14,toluene,1,0,0,0,0,0,1,750,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,780,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,810,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,840,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,870,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,900,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,930,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,960,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,990,0,0,0,0,0,
14,toluene,1,0,0,0,0,0,1,1020,0,0,0,9.36E-05,0,
14,toluene,1,0,0,0,0,0,1,1050,1.50E-05,0,0,0.000464789,7.44E-05,
14,toluene,1,0,0,0,0,0,1,1080,5.78E-05,4.08E-05,0,0.002131791,0.000279554,
14,toluene,1,0,0,0,0,0,1,1110,0.000132653,0.00009375,0,0.005782696,0.000683062,
14,toluene,1,0,0,0,0,0,1,1140,0.000193878,0.000096875,0,0.007074447,0.000846575,
15,Heptane,2,5,0,0,0,0,0,780,0,0,0,3.67E-06,0,0
15,Heptane,2,5,0,0,0,0,0,810,0,0,0,0,0,0
15,Heptane,2,5,0,0,0,0,0,840,0,5.55E-06,0,3.54E-06,0,0
15,Heptane,2,5,0,0,0,0,0,870,1.01E-05,4.64E-05,1.63E-05,0,0,0
15,Heptane,2,5,0,0,0,0,0,900,3.87E-05,0.000332816,0.000107755,2.82E-05,0,2.64E-05
15,Heptane,2,5,0,0,0,0,0,930,0.00018341,0.001126195,0.00030787,0.000358268,0.000155738,4.56E-05
15,Heptane,2,5,0,0,0,0,0,960,0.00034195,0.001842253,0.000362847,0.001031496,0.000411309,3.30E-05
15,Heptane,2,5,0,0,0,0,0,990,0.000484948,0.001838891,0.000186921,0.004129265,0.00092245,3.60E-05
15,Heptane,2,5,0,0,0,0,0,1020,0.000261126,0.000853891,7.26E-05,0.003630577,0.000782685,1.92E-05
16,Iso-octane,5,1,1,1,0,0,0,750,0,0,0,1.31E-07,0,0
16,Iso-octane,5,1,1,1,0,0,0,780,0,0,0,5.91E-07,0,0
16,Iso-octane,5,1,1,1,0,0,0,810,0,0,0,1.71E-06,0,0
16,Iso-octane,5,1,1,1,0,0,0,840,0,0,0,1.90E-06,0,0
16,Iso-octane,5,1,1,1,0,0,0,870,0,0,0,-7.87E-07,0,0
16,Iso-octane,5,1,1,1,0,0,0,900,0,0,0.00011875,0.000112533,5.87E-05,0
16,Iso-octane,5,1,1,1,0,0,0,930,0.00027356,7.73E-05,0.000301273,0.000731955,0.000187685,2.70E-05
16,Iso-octane,5,1,1,1,0,0,0,960,0.00057199,0.000332816,0.000433218,0.002055446,0.000435268,9.31E-05
16,Iso-octane,5,1,1,1,0,0,0,990,0.000889071,0.000655546,0.000439815,0.003856627,0.000690839,0.0001868
16,Iso-octane,5,1,1,1,0,0,0,1020,0.001193717,0.000958106,0.000347454,0.00592815,0.001066208,0.000302724
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,750,0,0,0,8.66E-07,0,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,780,0,0,0,3.94E-07,2.16E-05,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,810,0,0,0,6.56E-08,0,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,840,0,0,0,9.19E-07,0,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,870,0,5.04E-05,2.70E-05,1.31E-07,0,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,900,7.52E-05,0.000275666,0.000136343,6.76E-05,5.59E-05,0
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,930,0.000261126,0.000813549,0.000362847,0.000643045,0.000155738,1.23E-05
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,960,0.000484948,0.001237133,0.000417824,0.002032808,0.000495168,5.11E-05
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,990,0.000634162,0.001351433,0.000299074,0.00383399,0.000834597,0.000227644
17,PRF 50,3.40838,3.12216,0.46946,0.46946,0,0,0,1020,0.000603076,0.0010993,0.000153935,0.005066929,0.001114128,0.001499204
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,750,0,0,0,0,0,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,780,0,0,0,0,0,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,810,0,0,0,0,0,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,840,0,0,0,0,0,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,870,0,0,2.44E-05,0,0,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,900,8.33E-05,4.74E-05,0.000120949,0.000165354,6.91E-05,0
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,930,0.000285995,0.000184898,0.000327662,0.000801837,0.000195671,1.65E-05
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,960,0.000621728,0.000470648,0.000472801,0.002263123,0.000595,8.05E-05
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,990,0.00098233,0.00083372,0.000475,0.004207349,0.001118121,0.000230046
18,PRF 95,4.8317,1.2244,0.9439,0.9439,0,0,0,1020,0.001032068,0.000944659,0.000296875,0.005849738,0.001589329,0.000520157
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,750,0,0,0,1.20E-05,0,0
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,780,0,0,0,1.28E-05,0,0
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,810,0,0,0,1.22E-05,0,0
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,840,0,3.57E-06,5.35E-06,1.59E-05,0,0
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,870,1.88E-05,3.94E-05,3.09E-05,1.85E-05,0,7.22E-06
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,900,8.54E-05,0.000186606,0.000137273,0.000123798,6.42E-05,1.60E-05
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,930,0.000270371,0.000518349,0.000348903,0.000837944,0.000235585,3.78E-05
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,960,0.000547377,0.000883267,0.000454717,0.002370633,0.000485028,0.000108344
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,990,0.000912294,0.001314533,0.000469016,0.004614698,0.000859193,0.00026876
19,PRF 70,4.0211,2.3052,0.6737,0.6737,0,0,0,1020,0.00099523,0.001248184,0.000228789,0.007310531,0.001538233,0.00074077
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,750,0,0,0,1.75E-05,0,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,780,0,0,0,1.83E-05,0,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,810,0,0,0,1.80E-05,0,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,840,0,0,5.46E-06,1.73E-05,0,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,870,2.82E-05,3.44E-05,4.12E-05,1.68E-05,0,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,900,0.000126062,0.000165872,0.00019161,0.000141176,7.67E-05,0
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,930,0.000414679,0.000460294,0.000469016,0.000894629,0.000199488,1.37E-05
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,960,0.00078789,0.000837652,0.00060486,0.002526598,0.000314578,6.14E-05
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,990,0.001144515,0.001206716,0.000537653,0.004624297,0.000686701,0.000255289
20,PRF 84,4.4687,1.7084,0.8229,0.8229,0,0,0,1020,0.001459671,0.001488698,0.000380361,0.007177749,0.001047315,0.00056359
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,750,0,0,0,1.34E-05,0,5.46E-06
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,780,0,0,0,1.67E-05,0,5.29E-06
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,810,0,0,0,1.76E-05,0,8.07E-06
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,840,0,0,4.93E-06,1.90E-05,0,6.30E-06
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,870,1.96E-05,1.36E-05,2.83E-05,1.83E-05,0,6.81E-06
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,900,9.62E-05,7.51E-05,0.000140133,6.66E-05,7.63E-05,1.16E-05
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,930,0.000331743,0.00021978,0.000383221,0.001006805,0.000221885,3.11E-05
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,960,0.00067178,0.000551523,0.000511914,0.002659851,0.000656411,0.00010674
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,990,0.000970349,0.000858386,0.000459007,0.004702583,0.000825136,0.000278617
21,PRF 91.5,4.715,1.38,0.905,0.905,0,0,0,1020,0.001032551,0.000951689,0.000274546,0.006584448,0.00153933,0.000631617
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,750,0,0,0,0,0,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,780,0,0,0,3.00E-07,0,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,810,0,0,0,7.81E-07,0,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,840,0,0,0,1.14E-06,0,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,870,0,4.77E-05,3.10E-05,4.38E-06,0,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,900,8.58E-05,0.000228601,0.00014294,8.17E-05,7.07E-05,0
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,930,0.00027356,0.000628652,0.000358449,0.000603646,0.000223624,3.60E-06
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,960,0.000528469,0.001015256,0.000444213,0.001866798,0.000451242,4.75E-05
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,990,0.000795812,0.001341348,0.000391435,0.003701762,0.001010302,0.000199413
0,PRF 64.5,3.8495,2.534,0.6165,0.6165,0,0,0,1020,0.000714987,0.001072406,0.000186921,0.004945693,0.001273859,0.001375472
